rssi,node,sequence
-58.19151906013505,192.168.4.10,48736
-59.43437711639808,192.168.4.3,48736
-65.96622430723987,192.168.4.6,48736
-54.11004490313683,192.168.4.5,48752
-65.82622271019453,192.168.4.6,48752
-58.051493671353775,192.168.4.10,48752
-71.82486874627385,192.168.4.12,48752
-70.24831033487764,192.168.4.11,48752
-65.7272285236665,192.168.4.6,48768
-71.60163021252032,192.168.4.12,48768
-59.28017512063112,192.168.4.3,48768
-54.00331134591482,192.168.4.5,48768
-70.45884082659967,192.168.4.11,48768
-57.98741608048371,192.168.4.10,48768
-65.70193972057545,192.168.4.6,48816
-71.48420598816027,192.168.4.12,48816
-53.86674197776897,192.168.4.5,48816
-58.279784295390265,192.168.4.10,48816
-68.68315064090066,192.168.4.7,48816
-59.23595963154832,192.168.4.3,48816
-59.29649969108835,192.168.4.3,48864
-53.837339552050494,192.168.4.5,48864
-58.48813233096582,192.168.4.10,48864
-65.78131156397325,192.168.4.6,48864
-53.80908397078169,192.168.4.5,48880
-58.51573737746719,192.168.4.10,48880
-59.18404256722154,192.168.4.3,48880
-68.88208092645085,192.168.4.7,48896
-58.64509255001669,192.168.4.10,48896
-53.78191668811815,192.168.4.5,48896
-59.10995344843441,192.168.4.3,48896
-65.78881672721926,192.168.4.6,48896
-71.50695265986614,192.168.4.12,48896
-68.9234371621335,192.168.4.7,48912
-58.86455972896,192.168.4.10,48912
-70.80461704204745,192.168.4.11,48912
-65.79602105474578,192.168.4.6,48912
-71.52822964534835,192.168.4.12,48912
-53.822627666528085,192.168.4.5,48912
-59.07249865510711,192.168.4.3,48912
-58.87118045722207,192.168.4.10,48928
-71.59046625703012,192.168.4.12,48928
-59.03648647939757,192.168.4.3,48928
-65.80294061782199,192.168.4.6,48928
-71.24247302382977,192.168.4.11,48928
-53.79525332725451,192.168.4.5,48928
-71.60745817722447,192.168.4.12,48960
-53.73575728456076,192.168.4.5,48960
-65.77584581043432,192.168.4.6,48960
-59.06735274365579,192.168.4.10,48960
-69.03604933782117,192.168.4.7,48960
-59.00184485983563,192.168.4.3,48960
-59.03506017530131,192.168.4.3,49008
-59.15677307039572,192.168.4.10,49008
-69.10722385812343,192.168.4.7,49008
-65.7833724213277,192.168.4.6,49008
-71.70497580196883,192.168.4.12,49008
-53.61242633807014,192.168.4.5,49008
-71.67671678229597,192.168.4.12,49024
-69.21108442093191,192.168.4.7,49024
-65.79061258346792,192.168.4.6,49024
-59.00075750422675,192.168.4.3,49024
-59.28510172958858,192.168.4.10,49024
-71.62533371277958,192.168.4.11,49024
-53.592280714992654,192.168.4.5,49024
-69.34593203341646,192.168.4.7,49056
-72.09743879184468,192.168.4.11,49056
-65.79758030703593,192.168.4.6,49056
-58.93470521605634,192.168.4.3,49056
-53.40894574697738,192.168.4.5,49056
-59.22842835517823,192.168.4.10,49056
-71.65001101993177,192.168.4.12,49056
-53.39558158582954,192.168.4.5,49088
-58.96974784216443,192.168.4.3,49088
-71.62473203701988,192.168.4.12,49088
-65.77114789703634,192.168.4.6,49088
-59.261724790122784,192.168.4.10,49088
-53.41527486269976,192.168.4.5,49120
-69.43961653666312,192.168.4.7,49120
-71.63912727999315,192.168.4.12,49120
-65.77870313799954,192.168.4.6,49120
-72.44429609640503,192.168.4.11,49120
-59.41980487500926,192.168.4.10,49120
-59.03630677105043,192.168.4.3,49120
-53.27181785494289,192.168.4.5,49136
-71.65279330222918,192.168.4.12,49136
-69.63438025282441,192.168.4.7,49136
-59.10047937328576,192.168.4.3,49136
-59.56835036335632,192.168.4.10,49136
-65.72019310869905,192.168.4.6,49136
-70.13393344311399,192.168.4.7,49168
-65.72936617959472,192.168.4.6,49168
-59.29269868755484,192.168.4.3,49168
-53.26300938890243,192.168.4.5,49168
-59.6267029784298,192.168.4.10,49168
-70.26746206813138,192.168.4.7,49184
-71.66578406477811,192.168.4.12,49184
-59.25069752309405,192.168.4.3,49184
-53.25450737486892,192.168.4.5,49184
-59.72183680718646,192.168.4.10,49184
-65.7055308243381,192.168.4.6,49184
-59.21016771072623,192.168.4.3,49200
-53.278550331174536,192.168.4.5,49200
-59.73281416184958,192.168.4.10,49200
-71.64115408632243,192.168.4.12,49200
-65.71512527558262,192.168.4.6,49200
