sender, sequence, rssi
192.168.4.2, 52384, -63
192.168.4.2, 52400, -63
192.168.4.2, 52416, -64
192.168.4.2, 52432, -63
192.168.4.2, 52448, -65
192.168.4.2, 52464, -64
192.168.4.2, 52480, -63
192.168.4.2, 4294967223, 1
192.168.4.10, 35584, -78
192.168.4.10, 35600, -77
192.168.4.10, 35648, -76
192.168.4.10, 35664, -83
192.168.4.10, 35760, -72
192.168.4.10, 35792, -74
192.168.4.10, 35808, -75
192.168.4.10, 35824, -78
192.168.4.10, 35840, -73
192.168.4.10, 35856, -76
192.168.4.10, 35872, -77
192.168.4.10, 35888, -72
192.168.4.10, 35904, -74
192.168.4.10, 35920, -81
192.168.4.10, 35936, -79
192.168.4.10, 35968, -81
192.168.4.10, 36016, -81
192.168.4.10, 36032, -79
192.168.4.10, 36064, -73
192.168.4.10, 36096, -74
192.168.4.10, 36144, -80
192.168.4.10, 36160, -73
192.168.4.10, 36176, -70
192.168.4.10, 36192, -79
192.168.4.10, 36208, -69
192.168.4.10, 36224, -71
192.168.4.10, 36240, -75
192.168.4.10, 36256, -70
192.168.4.10, 36304, -80
192.168.4.10, 36320, -78
192.168.4.6, 34480, -79
192.168.4.6, 34496, -79
192.168.4.6, 34512, -79
192.168.4.6, 34624, -80
192.168.4.6, 34656, -80
192.168.4.6, 34704, -86
192.168.4.6, 34752, -82
192.168.4.6, 34784, -82
192.168.4.6, 34832, -77
192.168.4.6, 34864, -78
192.168.4.6, 34896, -77
192.168.4.6, 34944, -78
192.168.4.6, 35008, -77
192.168.4.6, 35056, -81
192.168.4.6, 35072, -84
192.168.4.6, 35088, -76
192.168.4.6, 35120, -79
192.168.4.6, 35136, -78
192.168.4.6, 35152, -80
192.168.4.6, 35168, -80
192.168.4.6, 35200, -82
192.168.4.6, 35216, -78
192.168.4.6, 35232, -74
192.168.4.6, 35248, -73
192.168.4.6, 35344, -76
192.168.4.6, 35376, -73
192.168.4.6, 35392, -74
192.168.4.6, 35456, -67
192.168.4.6, 35472, -69
192.168.4.6, 35488, -69
192.168.4.3, 54048, -69
192.168.4.3, 54080, -72
192.168.4.3, 54096, -80
192.168.4.3, 54128, -72
192.168.4.3, 54144, -71
192.168.4.3, 54160, -80
192.168.4.3, 54176, -72
192.168.4.3, 54192, -82
192.168.4.3, 54208, -81
192.168.4.3, 54224, -81
192.168.4.3, 54272, -81
192.168.4.3, 54288, -82
192.168.4.3, 54304, -71
192.168.4.3, 54320, -70
192.168.4.3, 54336, -81
192.168.4.3, 54352, -83
192.168.4.3, 54368, -82
192.168.4.3, 54416, -72
192.168.4.3, 54448, -70
