rssi,node,sequence
-67.39618217729593,192.168.4.9,20624
-60.81161111099999,192.168.4.7,20640
-60.18126224325329,192.168.4.5,20640
-69.67250410411981,192.168.4.3,20640
-77.24088896684947,192.168.4.10,20640
-71.67133465444007,192.168.4.11,20640
-68.31075390808282,192.168.4.6,20640
-67.38369019612739,192.168.4.9,20640
-68.26935270672045,192.168.4.6,20656
-69.65129944352209,192.168.4.3,20656
-67.40310764255356,192.168.4.9,20656
-77.30024924027298,192.168.4.10,20656
-60.14409892392389,192.168.4.5,20656
-71.68169776904433,192.168.4.11,20656
-60.81757975024314,192.168.4.7,20656
-69.63077961409131,192.168.4.3,20672
-67.39041676179085,192.168.4.9,20672
-60.13956843685998,192.168.4.5,20672
-68.2924100850807,192.168.4.6,20672
-77.22301186620075,192.168.4.10,20672
-71.69172619383666,192.168.4.11,20672
-67.37813398303206,192.168.4.9,20688
-68.28319013151982,192.168.4.6,20688
-69.54795580508605,192.168.4.3,20688
-60.16660390393293,192.168.4.5,20688
-71.73291406805761,192.168.4.11,20688
-60.79170482263362,192.168.4.7,20688
-60.76667428702783,192.168.4.7,20720
-71.70985608943533,192.168.4.11,20720
-60.12996936807438,192.168.4.5,20720
-69.46779537012553,192.168.4.3,20720
-67.42912564077095,192.168.4.9,20720
-60.0945044468392,192.168.4.5,20752
-71.78185848250517,192.168.4.11,20752
-69.70460876684736,192.168.4.3,20752
-60.805629857461966,192.168.4.7,20752
-67.38422133825657,192.168.4.9,20752
-68.33727991467053,192.168.4.6,20752
-60.12290966366558,192.168.4.5,20768
-69.71389020223356,192.168.4.3,20768
-71.85155431251462,192.168.4.11,20768
-67.37215574311624,192.168.4.9,20768
-68.35814407276165,192.168.4.6,20768
-60.81176368695762,192.168.4.7,20768
-68.44125866988603,192.168.4.6,20784
-67.36047536089549,192.168.4.9,20784
-60.21312040619792,192.168.4.5,20784
-71.85621591088824,192.168.4.11,20784
-69.66006938793689,192.168.4.3,20784
-77.2824026524008,192.168.4.10,20832
-60.786168046184514,192.168.4.7,20832
-71.86072868047235,192.168.4.11,20832
-68.52170579731981,192.168.4.6,20832
-60.300463510575575,192.168.4.5,20832
-69.70212409752463,192.168.4.3,20832
-67.34916731995474,192.168.4.9,20832
-60.824411015524745,192.168.4.7,20880
-71.83372779160861,192.168.4.11,20880
