rssi,node,sequence
-73.99840618276572,192.168.4.12,43136
-65.01703159383972,192.168.4.6,43136
-62.16941267936741,192.168.4.7,43168
-64.1701250497454,192.168.4.10,43168
-50.47341867774007,192.168.4.11,43168
-63.829784921923824,192.168.4.3,43168
-58.9787497244834,192.168.4.5,43168
-50.49312075423831,192.168.4.11,43184
-58.90284507533346,192.168.4.5,43184
-64.20339066323137,192.168.4.10,43184
-62.08504403888449,192.168.4.7,43184
-63.83640460054171,192.168.4.3,43184
-64.19536411082207,192.168.4.10,43216
-58.90652427103661,192.168.4.5,43216
-50.54886616077759,192.168.4.11,43216
-62.08178175773092,192.168.4.7,43216
-62.07868473416085,192.168.4.7,43232
-63.804320200495575,192.168.4.3,43232
-64.30443663504487,192.168.4.10,43232
-58.8351915339154,192.168.4.5,43232
-50.56537912210439,192.168.4.11,43232
-64.85432294376773,192.168.4.6,43232
-63.773861101939545,192.168.4.3,43248
-50.581129992578525,192.168.4.11,43248
-58.730306616879496,192.168.4.5,43248
-62.03832567041984,192.168.4.7,43248
-63.782322104410525,192.168.4.3,43264
-64.86190832567321,192.168.4.6,43264
-64.4078381865128,192.168.4.10,43264
-50.38074832676444,192.168.4.11,43264
-62.03690785271185,192.168.4.7,43264
-58.66697178414496,192.168.4.5,43264
-50.4027875113069,192.168.4.11,43280
-61.96235042058469,192.168.4.7,43280
-58.57031943892483,192.168.4.5,43280
-63.82736881237632,192.168.4.3,43280
-64.76807676383643,192.168.4.6,43296
-50.45916664720943,192.168.4.11,43296
-64.43026298080122,192.168.4.10,43296
-63.76048118856031,192.168.4.3,43296
-58.51393959730666,192.168.4.5,43296
-62.54356258521433,192.168.4.7,43296
-64.41416466169312,192.168.4.10,43312
-63.69668050022839,192.168.4.3,43312
-58.42446841602725,192.168.4.5,43312
-50.47811043306665,192.168.4.11,43312
-62.52404682828978,192.168.4.7,43328
-51.26129152671373,192.168.4.11,43328
-64.43583702143319,192.168.4.10,43328
-58.4447837927343,192.168.4.5,43328
-51.2522668765228,192.168.4.11,43360
-63.6357638640916,192.168.4.3,43360
-64.87717989199,192.168.4.6,43360
-58.35915027845899,192.168.4.5,43360
-64.45648721575944,192.168.4.10,43360
-62.505395986868194,192.168.4.7,43360
-62.48755628849997,192.168.4.7,43392
-58.34666110844369,192.168.4.5,43392
-63.64872703845716,192.168.4.3,43392
-64.51242486435437,192.168.4.10,43392
-51.1063334305038,192.168.4.11,43392
-74.16686407317533,192.168.4.12,43392
-65.07306712773949,192.168.4.6,43392
-58.30014928472597,192.168.4.5,43408
-64.56583390232709,192.168.4.10,43408
-51.10270596110112,192.168.4.11,43408
-63.66112643188659,192.168.4.3,43408
-62.4704786399507,192.168.4.7,43408
-51.0652989461622,192.168.4.11,43424
-64.54569585776015,192.168.4.10,43424
-65.0234181228001,192.168.4.6,43424
-62.45411811324271,192.168.4.7,43424
-58.25552949227909,192.168.4.5,43424
-63.63796913678713,192.168.4.3,43424
-65.02236114902553,192.168.4.6,43440
-62.36935624676426,192.168.4.7,43440
-58.246812333335455,192.168.4.5,43440
-63.615784259058415,192.168.4.3,43440
-64.59703054958068,192.168.4.10,43440
-50.86062863425208,192.168.4.11,43440
-65.19777622370806,192.168.4.6,43456
-50.63026362383632,192.168.4.11,43456
-64.57611834284802,192.168.4.10,43456
-62.35668031849726,192.168.4.7,43456
-63.59451591713788,192.168.4.3,43472
-50.64262101308921,192.168.4.11,43472
-58.170593880291,192.168.4.5,43472
-64.59085849592614,192.168.4.10,43472
-62.242170186620406,192.168.4.7,43472
-58.13109280759436,192.168.4.5,43488
-63.53979376321927,192.168.4.3,43488
-62.1661092087848,192.168.4.7,43488
-64.50137380457765,192.168.4.10,43488
-50.687790115007886,192.168.4.11,43488
-50.66499623437522,192.168.4.11,43504
-64.44984819260952,192.168.4.10,43504
-74.43213147670839,192.168.4.12,43504
-62.09301499672228,192.168.4.7,43504
-65.18924138030049,192.168.4.6,43504
-63.45315098190834,192.168.4.3,43504
-58.09311316749231,192.168.4.5,43504
-63.43777877376964,192.168.4.3,43520
-50.67605592812544,192.168.4.11,43520
-62.08989175513159,192.168.4.7,43520
-64.4686161270087,192.168.4.10,43520
-58.09000112407583,192.168.4.5,43520
