rssi,node,millis
-60.00591754374378,192.168.4.6,4880
-58.75781120938556,192.168.4.5,4880
-63.32331679854688,192.168.4.10,4880
-58.234983193757714,192.168.4.11,4880
-80.80435916294303,192.168.4.3,4880
-58.225233531504266,192.168.4.11,4896
-59.26548741757026,192.168.4.12,4896
-63.18542942103322,192.168.4.10,4896
-59.79423278919205,192.168.4.6,4896
-59.06406095144824,192.168.4.5,4896
-71.50825056699823,192.168.4.7,4896
-80.40748234771263,192.168.4.3,4896
-59.1858756806735,192.168.4.5,4944
-63.13711249702346,192.168.4.10,4944
-58.21605323680848,192.168.4.11,4944
-70.86788210931147,192.168.4.7,4944
-59.59531579554861,192.168.4.6,4944
-80.10464014338577,192.168.4.3,4992
-58.447903273237166,192.168.4.11,4992
-59.382094599137424,192.168.4.5,4992
-60.00130815922913,192.168.4.12,4992
-59.40801529485674,192.168.4.6,4992
-63.21178651341937,192.168.4.10,4992
-63.24289235062569,192.168.4.10,5008
-59.56720376062346,192.168.4.5,5008
-70.64228074164848,192.168.4.7,5008
-59.27140468922487,192.168.4.6,5008
-58.66700967001506,192.168.4.11,5008
-80.47650721177216,192.168.4.3,5040
-63.23344624680188,192.168.4.10,5040
-59.46589234739222,192.168.4.5,5040
-58.75773985900706,192.168.4.11,5040
-70.32628882020381,192.168.4.7,5040
-59.22123032915658,192.168.4.6,5040
-58.84375274239452,192.168.4.11,5056
-60.81643494520262,192.168.4.12,5056
-70.20083195910041,192.168.4.7,5056
-59.2515167467678,192.168.4.6,5056
-59.36999358783146,192.168.4.5,5056
-63.26285117506095,192.168.4.10,5056
-80.13927647767098,192.168.4.3,5056
-61.384984451150856,192.168.4.12,5088
-79.77948998708624,192.168.4.3,5088
-59.279080861706426,192.168.4.5,5088
-63.252897166891294,192.168.4.10,5088
-59.00114720390952,192.168.4.11,5088
-59.16514878087296,192.168.4.6,5088
-59.26851224554264,192.168.4.5,5104
-59.04528659339873,192.168.4.6,5104
-79.93691821354385,192.168.4.3,5104
-70.0341651314406,192.168.4.7,5104
-61.764428743199446,192.168.4.12,5104
-59.11334948814921,192.168.4.11,5104
-63.2434350019461,192.168.4.10,5104
-62.12360088155287,192.168.4.12,5120
-59.18314413166592,192.168.4.11,5120
-80.0349412603144,192.168.4.3,5120
-58.93134698542954,192.168.4.6,5120
-59.22105077236815,192.168.4.5,5120
-69.88125725234251,192.168.4.7,5120
-63.2714233251701,192.168.4.10,5120
-62.57917840967392,192.168.4.12,5136
-79.66317808911236,192.168.4.3,5136
-63.33469483641625,192.168.4.10,5136
-58.8598988430691,192.168.4.6,5136
-59.39605991772832,192.168.4.11,5136
-69.78929573334109,192.168.4.7,5136
-59.249867176529214,192.168.4.5,5136
-58.79182051465041,192.168.4.6,5152
-59.2041179851468,192.168.4.5,5152
-63.35880581679096,192.168.4.10,5152
-69.75179398566777,192.168.4.7,5152
-59.49042796363735,192.168.4.11,5152
